158023,L. Messi,31,565,159,84,95,97,95,85,68,22,
20801,Cristiano Ronaldo,33,405,183,84,94,88,96,95,95,29,
190871,Neymar Jr,26,290,150,79,87,96,94,80,61,36,
193080,De Gea,27,260,168,17,13,18,90,31,67,30,
192985,K. De Bruyne,27,355,154,93,82,86,91,91,63,61,
183277,E. Hazard,27,340,163,81,84,95,90,82,56,41,
177003,L. Modrić,32,420,146,86,72,90,90,79,68,83,
176580,L. Suárez,31,455,190,77,93,87,92,86,69,41,
155862,Sergio Ramos,32,380,181,66,60,63,85,79,93,90,
200389,J. Oblak,25,94,192,13,11,12,86,22,76,19,
188545,R. Lewandowski,29,205,176,62,91,85,90,88,84,39,
182521,T. Kroos,28,355,168,88,76,81,89,87,30,82,
182493,D. Godín,32,125,172,55,42,53,85,67,91,88,
168542,David Silva,32,285,148,84,76,89,90,72,64,50,
215914,N. Kanté,27,225,159,68,65,79,93,71,77,92,
211110,P. Dybala,24,205,165,82,84,92,86,82,75,32,
202126,H. Kane,24,205,196,75,94,80,91,88,78,35,
194765,A. Griezmann,27,145,161,82,90,88,90,80,90,35,
192448,M. ter Stegen,26,240,187,15,14,17,85,22,79,22,
192119,T. Courtois,26,240,212,14,14,13,84,36,68,15,
189511,Sergio Busquets,29,315,168,62,67,80,87,61,66,87,
179813,E. Cavani,31,200,170,70,89,80,91,87,88,48,
167495,M. Neuer,32,130,203,15,13,30,84,25,77,30,
153079,S. Agüero,30,300,154,70,93,89,90,88,81,24,
138956,G. Chiellini,33,215,187,58,33,58,82,78,89,88,
231747,K. Mbappé,19,100,161,77,88,90,87,79,75,38,
209331,M. Salah,26,255,157,78,90,89,91,77,68,55,
200145,Casemiro,26,285,185,52,59,69,84,86,88,87,
198710,J. Rodríguez,26,315,172,90,83,85,85,86,54,55,
198219,L. Insigne,27,165,130,86,77,90,83,75,53,26,
197781,Isco,26,315,174,75,79,94,77,69,64,64,
190460,C. Eriksen,26,205,168,88,80,84,88,84,50,56,
189242,Coutinho,26,340,150,79,79,91,83,83,59,49,
188567,P. Aubameyang,29,265,176,77,88,79,87,82,79,48,
178603,M. Hummels,29,160,203,64,55,68,87,71,68,92,
176676,Marcelo,30,285,176,90,70,90,88,83,76,85,
173731,G. Bale,28,355,181,87,86,87,85,92,87,59,
167948,H. Lloris,31,150,181,13,10,10,85,23,74,27,
167664,G. Higuaín,30,245,196,68,92,84,86,86,79,20,
164240,Thiago Silva,33,165,181,60,38,62,82,71,90,89,
162835,S. Handanovič,33,110,203,12,10,12,83,22,78,22,
1179,G. Buffon,40,77,203,13,15,26,79,39,75,28,
205600,S. Umtiti,24,205,165,69,51,69,82,83,89,87,
201399,M. Icardi,25,130,165,46,91,77,88,84,94,22,
201024,K. Koulibaly,27,115,196,30,19,66,80,55,81,88,
195864,P. Pogba,25,210,185,80,73,87,81,90,83,66,
193041,K. Navas,31,195,176,11,15,16,84,21,74,20,
192505,R. Lukaku,25,230,207,78,87,80,86,88,71,27,
192387,C. Immobile,28,115,187,55,90,83,87,86,77,40,
189332,Jordi Alba,29,250,150,87,73,80,83,64,81,84,
175943,D. Mertens,31,135,134,77,86,91,88,80,60,36,
172871,J. Vertonghen,31,155,190,68,56,71,84,80,85,89,
171877,M. Hamšík,30,125,174,78,79,86,88,82,71,72,
168651,I. Rakitić,30,260,172,84,83,84,77,84,39,75,
152729,Piqué,31,240,187,57,64,59,84,62,74,88,
222492,L. Sané,22,195,165,83,81,88,81,86,64,34,
218667,Bernardo Silva,23,180,141,85,75,92,82,70,50,49,
210257,Ederson,24,125,190,20,14,23,86,42,58,25,
208722,S. Mané,26,195,152,73,84,87,86,82,75,35,
203376,V. van Dijk,26,165,203,53,52,70,85,81,85,86,
